generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.4056103289418057,min,0.981499985198518,0.981499985198518,0.5556660592682817,0.2960766384776578,0.4056103289418057,,0.18399999640625006,0.07000000085449219,3.0439998388263025,0.1960000040673829,0.5,0.064,2.6840000143341065,1.11000002709961,0.018195055988739096,0.02018765613673616,92,50000,0.010871397397403768,0.01286855745420266,35,50000,0.0758947789380661,0.07777298137401772,1522,50000,0.018808383644857783,0.020800503802454642,98,50000,0.030568856298993086,0.03254881669978501,250,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07133588130421552,0.07322848345217327,1342,50000,0.04588659993469378,0.04784216082347609,555,50000,0.8898466666666667,0.9722661659333333,0.2903528645833333,0.4056103289418057,0.30021008090616746,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
0,0,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.40053275216222844,min,0.9714999968333065,0.9714999968333065,0.5523681485533428,0.29043399040079976,0.40053275216222844,,0.17599999828125001,0.07000000085449219,3.0079998678125057,0.1920000075000003,0.49600000847656267,0.064,2.6660000581723033,1.100000033569337,0.017774964627493357,0.019767884769090572,88,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07545262139027134,0.07733226379742358,1504,50000,0.018606088111257617,0.020598368265654594,96,50000,0.030443045883779725,0.03242316628137183,248,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07109944397904328,0.07299276611260133,1333,50000,0.045677275754512324,0.047633236635294916,550,50000,0.89006,0.9723770222999999,0.2897983463541667,0.40053275216222844,0.29958768476768405,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
0,0,0,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.42714723417271805,min,1.026999998755408,1.026999998755408,0.5841546718522205,0.3123398107608737,0.42714723417271805,,0.186000003178711,0.07600000259765634,3.2060000964940674,0.20999999359130878,0.5379999840740971,0.06799999900390627,2.791999925019533,1.1399999860839845,0.018298640498242997,0.020291160647840055,93,50000,0.011365939057076106,0.013362859118674898,38,50000,0.07784981628743762,0.07972153885298719,1603,50000,0.019500590223149507,0.021492150391946158,105,50000,0.03173948695166986,0.03371792738286125,269,50000,0.010701894656100771,0.01269913471129969,34,50000,0.07273677610516623,0.07462505833952214,1396,50000,0.04650879434023661,0.048463155253018406,570,50000,0.8887733333333333,0.9715178964,0.29435072916666666,0.40053275216222844,0.30468514803389385,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
0,0,0,,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.41320674756589015,min,1.0072499901874548,1.0072499901874548,0.566416596821658,0.3014385828241195,0.41320674756589015,,0.18199999600097666,0.07000000085449219,3.1459999402348338,0.20600000150878908,0.5220000113104251,0.064,2.7459999298164384,1.1220000417736833,0.018090905588142768,0.020083585734539902,91,50000,0.010871397397403768,0.01286855745420266,35,50000,0.0771322021242405,0.07900632464179075,1573,50000,0.019305243198633602,0.02129696336423035,103,50000,0.031251873209490244,0.03323095362788185,261,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07214376156805119,0.07403388376560766,1373,50000,0.046136507665685625,0.04809158856406773,561,50000,0.8894466666666667,0.9719082595333332,0.2921647265625,0.40053275216222844,0.30231294858949054,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
0,0,0,,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.40666422027745114,min,0.9917499918335733,0.9917499918335733,0.5552410539922645,0.2978450294062212,0.40666422027745114,,0.18000000439453137,0.07000000085449219,3.0920000467083746,0.2020000022192383,0.5080000158129888,0.062000001059570334,2.703999876220709,1.115999987398682,0.017986179985518026,0.019978940130315186,90,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07647988622131487,0.07835616869566568,1546,50000,0.019107983742976033,0.02109986390537279,101,50000,0.03081895606436777,0.03279859647155967,254,50000,0.010177937621807402,0.012175417672206403,31,50000,0.0715975836400002,0.07348938580395738,1352,50000,0.04601172728080586,0.047967048174388065,558,50000,0.8896866666666666,0.9721211618333333,0.291069453125,0.40053275216222844,0.30104801299796574,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
1,1,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3907633397531811,min,0.9567499870860486,0.9567499870860486,0.5400840029161262,0.28272636639966053,0.3907633397531811,,0.17000000103759766,0.06600000112792971,2.965999913331759,0.1920000075000003,0.48399999527343757,0.062000001059570334,2.6399999919433594,1.0739999854147342,0.017453579376129062,0.019446739512926376,85,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07493309319926318,0.07681441557281614,1483,50000,0.018606088111257617,0.020598368265654594,96,50000,0.030062498529499684,0.03204309891749199,242,50000,0.010177937621807402,0.012175417672206403,31,50000,0.07075639167085507,0.0726507537836131,1320,50000,0.0451283910866988,0.047085391946681716,537,50000,0.89074,0.9726799288333333,0.28830046875,0.3907633397531811,0.2959629621592548,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
1,1,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.386860022271133,min,0.951500021807443,0.951500021807443,0.5387953148584725,0.2777690761303918,0.386860022271133,,0.1639999983984375,0.064,2.9540001559576496,0.1920000075000003,0.48200001765136785,0.062000001059570334,2.6160000279418947,1.0779999659506236,0.01712646030715213,0.019119860439149504,82,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07478391844655714,0.0766657208105103,1477,50000,0.018606088111257617,0.020598368265654594,96,50000,0.029998611176793727,0.031979291563185956,241,50000,0.010177937621807402,0.012175417672206403,31,50000,0.07043810112523918,0.07233342321879763,1308,50000,0.04521327765613474,0.047170118519317475,539,50000,0.89084,0.9727892493,0.28777466145833336,0.386860022271133,0.29543557165209194,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
1,1,0,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4104471693326184,min,1.0040000256581982,1.0040000256581982,0.5643996671137852,0.29848862185667363,0.4104471693326184,,0.18000000439453137,0.07000000085449219,3.1500000931263,0.2,0.518000018495484,0.064,2.7280000466210947,1.1220000417736833,0.017986179985518026,0.019978940130315186,90,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07718027615002537,0.07905423867077682,1575,50000,0.01900861920277211,0.02100057936356898,100,50000,0.031128789714084983,0.03310803012927677,259,50000,0.0103552826863133,0.012352682738312273,32,50000,0.071910244439366,0.07380108662252277,1364,50000,0.046136507665685625,0.04809158856406773,561,50000,0.8896333333333334,0.9719980554666666,0.29167483072916667,0.386860022271133,0.29934857487820377,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
1,1,0,,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.40084792301144734,min,0.9762499920361145,0.9762499920361145,0.5533873197768371,0.29035550985770286,0.40084792301144734,,0.17599999828125001,0.06799999900390627,3.0300000566368115,0.1960000040673829,0.49600000847656267,0.064,2.6759998913855023,1.1039999784375005,0.017774964627493357,0.019767884769090572,88,50000,0.010701894656100771,0.01269913471129969,34,50000,0.07572317100037439,0.07760193342512649,1515,50000,0.018808383644857783,0.020800503802454642,98,50000,0.030443045883779725,0.03242316628137183,248,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07123090446047621,0.07312382660203363,1338,50000,0.045761122843420744,0.04771692372740315,552,50000,0.89006,0.9723438812000001,0.28995872395833333,0.386860022271133,0.2975997714443697,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
1,1,0,,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.40028764026032354,min,0.9715000100048258,0.9715000100048258,0.5511990884187725,0.29069386780887346,0.40028764026032354,,0.17399999915039063,0.07000000085449219,3.0220000645568863,0.19399999597412118,0.49600000847656267,0.064,2.6579999924967956,1.0940000185293581,0.01766845491625471,0.01966145505625193,87,50000,0.010871397397403768,0.01286855745420266,35,50000,0.0756249142059958,0.07750399662434758,1511,50000,0.018707497323864092,0.02069969747986102,97,50000,0.030443045883779725,0.03242316628137183,248,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07099408314384589,0.07288772527100362,1329,50000,0.045551209465195634,0.04750741034117833,547,50000,0.8903133333333333,0.9725399742333334,0.28899501302083336,0.386860022271133,0.2966406064507849,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
